customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_group,total_services,is_auto_payment,Probability_Churn,Risk_Segment,Main_Churn_Reason
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Male,0,No,Yes,52,Yes,No phone service,DSL,Two year,Yes,Electronic check,113.8,5911.45,No,4+ Years,2,0,0.0348,Low Risk,Contract One Year
23b8c1e9-3924-46de-beb1-3b9046685257,Female,0,Yes,Yes,72,Yes,No phone service,DSL,Two year,Yes,Mailed check,78.42,5652.54,No,4+ Years,2,0,0.0144,Low Risk,Contract One Year
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Female,0,No,No,24,Yes,No phone service,DSL,Two year,No,Bank transfer (automatic),83.66,2008.51,No,2-4 Years,2,1,0.0234,Low Risk,Contract One Year
972a8469-1641-4f82-8b9d-2434e465e150,Female,0,Yes,No,53,Yes,No phone service,DSL,One year,Yes,Bank transfer (automatic),115.73,6130.08,No,4+ Years,2,1,0.0305,Low Risk,Contract Two Year
17fc695a-07a0-4a6e-8822-e8f36c031199,Female,1,Yes,No,30,Yes,Yes,DSL,One year,Yes,Bank transfer (automatic),39.59,1185.21,No,2-4 Years,3,1,0.0121,Low Risk,Contract Two Year
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Female,0,Yes,Yes,64,Yes,Yes,DSL,One year,Yes,Mailed check,117.97,7551.43,No,4+ Years,3,0,0.0467,Low Risk,Contract Two Year
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Male,1,No,No,33,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),48.83,1604.38,Yes,2-4 Years,3,1,0.6796,Medium Risk,Contract One Year
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Male,1,Yes,Yes,22,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),18.96,421.51,Yes,1-2 Years,2,1,0.5785,Medium Risk,Contract One Year
47378190-96da-4dac-b2ff-5d2a386ecbe0,Female,1,Yes,No,49,Yes,No phone service,DSL,Month-to-month,No,Credit card (automatic),70.99,3479.68,No,4+ Years,2,1,0.461,Medium Risk,Contract One Year
c241330b-01a9-471f-9e8a-774bcf36d58b,Female,0,Yes,No,42,Yes,No phone service,No,One year,No,Credit card (automatic),22.94,971.31,No,2-4 Years,1,1,0.0348,Low Risk,Contract Two Year
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Male,1,Yes,Yes,60,Yes,Yes,No,Two year,No,Credit card (automatic),55.07,3304.59,No,4+ Years,2,1,0.0372,Low Risk,Contract One Year
371ecd7b-27cd-4130-8722-9389571aa876,Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,27.36,1690.89,Yes,4+ Years,3,0,0.8375,High Risk,Contract One Year
1a2a73ed-562b-4f79-8374-59eef50bea63,Male,0,No,Yes,62,Yes,No,Fiber optic,Two year,No,Bank transfer (automatic),38.32,2369.85,No,4+ Years,2,1,0.0265,Low Risk,Contract One Year
5be6128e-18c2-4797-a142-ea7d17be3111,Male,0,No,No,55,Yes,No phone service,Fiber optic,One year,Yes,Credit card (automatic),117.06,6436.35,No,4+ Years,2,1,0.0389,Low Risk,Contract Two Year
