senior_citizen,tenure_months,monthly_charges,total_charges,churn,total_services,is_auto_payment,gender_Male,partner_Yes,dependents_Yes,multiple_lines_No phone service,multiple_lines_Yes,internet_service_Fiber optic,internet_service_No,contract_One year,contract_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0,52,113.8,5911.45,0,2,0,True,False,True,True,False,False,False,False,True,True,False,True,False
0,72,78.42,5652.54,0,2,0,False,True,True,True,False,False,False,False,True,True,False,False,True
0,24,83.66,2008.51,0,2,1,False,False,False,True,False,False,False,False,True,False,False,False,False
0,53,115.73,6130.08,0,2,1,False,True,False,True,False,False,False,True,False,True,False,False,False
1,30,39.59,1185.21,0,3,1,False,True,False,False,True,False,False,True,False,True,False,False,False
0,64,117.97,7551.43,0,3,0,False,True,True,False,True,False,False,True,False,True,False,False,True
1,33,48.83,1604.38,1,3,1,True,False,False,False,True,True,False,False,False,False,False,False,False
1,22,18.96,421.51,1,2,1,True,True,True,False,True,False,True,False,False,True,True,False,False
1,49,70.99,3479.68,0,2,1,False,True,False,True,False,False,False,False,False,False,True,False,False
0,42,22.94,971.31,0,1,1,False,True,False,True,False,False,True,True,False,False,True,False,False
1,60,55.07,3304.59,0,2,1,True,True,True,False,True,False,True,False,True,False,True,False,False
1,62,27.36,1690.89,1,3,0,False,True,True,False,True,True,False,False,False,True,False,True,False
0,62,38.32,2369.85,0,2,1,True,False,True,False,False,True,False,False,True,False,False,False,False
0,55,117.06,6436.35,0,2,1,True,False,False,True,False,True,False,True,False,True,True,False,False
1,3,104.67,312.59,0,3,0,True,True,True,False,True,True,False,False,True,True,False,False,True
0,7,35.39,244.89,0,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False
0,39,19.58,764.26,0,1,0,True,True,True,True,False,False,True,True,False,True,False,False,True
1,60,74.86,4488.64,0,2,0,True,True,False,False,True,False,True,True,False,True,False,False,True
1,9,19.85,179.92,0,3,0,False,False,False,False,True,True,False,False,False,True,False,False,True
1,2,87.02,171.44,1,3,0,True,True,True,False,True,False,False,False,False,True,False,True,False
0,60,30.51,1833.76,0,1,1,True,True,False,True,False,False,True,False,False,False,True,False,False
0,8,21.71,172.13,0,2,0,True,False,True,False,False,True,False,False,False,True,False,True,False
1,36,36.56,1322.39,1,1,0,False,False,False,False,False,False,True,False,False,True,False,True,False
1,4,49.58,201.58,0,2,0,False,True,True,True,False,False,False,False,True,False,False,False,True
0,6,39.15,235.87,0,2,0,False,False,False,True,False,False,False,True,False,True,False,True,False
0,4,36.83,146.28,0,2,1,True,True,True,False,False,True,False,True,False,True,True,False,False
0,63,102.9,6475.1,0,2,1,True,False,True,False,False,True,False,True,False,False,True,False,False
0,44,112.67,4964.55,0,2,1,False,True,False,True,False,False,False,False,True,True,False,False,False
0,62,111.38,6902.16,1,1,0,True,False,True,True,False,False,True,False,False,True,False,True,False
0,48,51.07,2451.81,0,3,0,True,False,True,False,True,False,False,False,True,True,False,True,False
1,62,50.95,3160.62,0,2,1,False,False,True,False,True,False,True,True,False,True,False,False,False
0,53,77.22,4091.74,1,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False
0,60,72.79,4374.17,1,2,1,True,False,True,False,False,False,False,False,False,False,False,False,False
1,41,48.03,1963.12,0,2,0,True,False,True,False,True,False,True,True,False,True,False,False,True
0,45,25.74,1166.97,0,2,1,False,True,True,False,False,True,False,False,True,True,False,False,False
1,71,60.8,4320.16,0,2,1,True,False,False,True,False,False,False,False,True,False,False,False,False
0,1,38.22,36.99,1,3,1,True,False,True,False,True,True,False,False,False,False,True,False,False
